1|GEN|1
32|GEN|2
57|GEN|3
81|GEN|4
107|GEN|5
139|GEN|6
161|GEN|7
185|GEN|8
207|GEN|9
236|GEN|10
268|GEN|11
300|GEN|12
320|GEN|13
338|GEN|14
362|GEN|15
383|GEN|16
399|GEN|17
426|GEN|18
459|GEN|19
497|GEN|20
515|GEN|21
549|GEN|22
573|GEN|23
593|GEN|24
660|GEN|25
694|GEN|26
729|GEN|27
775|GEN|28
797|GEN|29
832|GEN|30
875|GEN|31
930|GEN|32
962|GEN|33
982|GEN|34
1013|GEN|35
1042|GEN|36
1085|GEN|37
1121|GEN|38
1151|GEN|39
1174|GEN|40
1197|GEN|41
1254|GEN|42
1292|GEN|43
1326|GEN|44
1360|GEN|45
1388|GEN|46
1422|GEN|47
1453|GEN|48
1475|GEN|49
1508|GEN|50
1534|EXO|1
1556|EXO|2
1581|EXO|3
1603|EXO|4
1634|EXO|5
1657|EXO|6
1687|EXO|7
1712|EXO|8
1744|EXO|9
1779|EXO|10
1808|EXO|11
1818|EXO|12
1869|EXO|13
1891|EXO|14
1922|EXO|15
1949|EXO|16
1985|EXO|17
2001|EXO|18
2028|EXO|19
2053|EXO|20
2079|EXO|21
2115|EXO|22
2146|EXO|23
2179|EXO|24
2197|EXO|25
2237|EXO|26
2274|EXO|27
2295|EXO|28
2338|EXO|29
2384|EXO|30
2422|EXO|31
2440|EXO|32
2475|EXO|33
2498|EXO|34
2533|EXO|35
2568|EXO|36
2606|EXO|37
2635|EXO|38
2666|EXO|39
2709|EXO|40
2747|LEV|1
2764|LEV|2
2780|LEV|3
2797|LEV|4
2832|LEV|5
2851|LEV|6
2881|LEV|7
2919|LEV|8
2955|LEV|9
2979|LEV|10
2999|LEV|11
3046|LEV|12
3054|LEV|13
3113|LEV|14
3170|LEV|15
3203|LEV|16
3237|LEV|17
3253|LEV|18
3283|LEV|19
3320|LEV|20
3347|LEV|21
3371|LEV|22
3404|LEV|23
3448|LEV|24
3471|LEV|25
3526|LEV|26
3572|LEV|27
3606|NUM|1
3660|NUM|2
3694|NUM|3
3745|NUM|4
3794|NUM|5
3825|NUM|6
3852|NUM|7
3941|NUM|8
3967|NUM|9
3990|NUM|10
4026|NUM|11
4061|NUM|12
4077|NUM|13
4110|NUM|14
4155|NUM|15
4196|NUM|16
4246|NUM|17
4259|NUM|18
4291|NUM|19
4313|NUM|20
4342|NUM|21
4377|NUM|22
4418|NUM|23
4448|NUM|24
4473|NUM|25
4491|NUM|26
4556|NUM|27
4579|NUM|28
4610|NUM|29
4650|NUM|30
4666|NUM|31
4720|NUM|32
4762|NUM|33
4818|NUM|34
4847|NUM|35
4881|NUM|36
4894|DEU|1
4940|DEU|2
4977|DEU|3
5006|DEU|4
5055|DEU|5
5088|DEU|6
5113|DEU|7
5139|DEU|8
5159|DEU|9
5188|DEU|10
5210|DEU|11
5242|DEU|12
5274|DEU|13
5292|DEU|14
5321|DEU|15
5344|DEU|16
5366|DEU|17
5386|DEU|18
5408|DEU|19
5429|DEU|20
5449|DEU|21
5472|DEU|22
5502|DEU|23
5527|DEU|24
5549|DEU|25
5568|DEU|26
5587|DEU|27
5613|DEU|28
5681|DEU|29
5710|DEU|30
5730|DEU|31
5760|DEU|32
5812|DEU|33
5841|DEU|34
5853|JOS|1
5871|JOS|2
5895|JOS|3
5912|JOS|4
5936|JOS|5
5951|JOS|6
5978|JOS|7
6004|JOS|8
6039|JOS|9
6066|JOS|10
6109|JOS|11
6132|JOS|12
6156|JOS|13
6189|JOS|14
6204|JOS|15
6267|JOS|16
6277|JOS|17
6295|JOS|18
6323|JOS|19
6374|JOS|20
6383|JOS|21
6428|JOS|22
6462|JOS|23
6478|JOS|24
6511|JDG|1
6547|JDG|2
6570|JDG|3
6601|JDG|4
6625|JDG|5
6656|JDG|6
6696|JDG|7
6721|JDG|8
6756|JDG|9
6813|JDG|10
6831|JDG|11
6871|JDG|12
6886|JDG|13
6911|JDG|14
6931|JDG|15
6951|JDG|16
6982|JDG|17
6995|JDG|18
7026|JDG|19
7056|JDG|20
7104|JDG|21
7129|RUT|1
7151|RUT|2
7174|RUT|3
7192|RUT|4
7214|1SA|1
7242|1SA|2
7278|1SA|3
7299|1SA|4
7321|1SA|5
7333|1SA|6
7354|1SA|7
7371|1SA|8
7393|1SA|9
7420|1SA|10
7447|1SA|11
7462|1SA|12
7487|1SA|13
7510|1SA|14
7562|1SA|15
7597|1SA|16
7620|1SA|17
7678|1SA|18
7708|1SA|19
7732|1SA|20
7774|1SA|21
7789|1SA|22
7812|1SA|23
7841|1SA|24
7863|1SA|25
7907|1SA|26
7932|1SA|27
7944|1SA|28
7969|1SA|29
7980|1SA|30
8011|1SA|31
8024|2SA|1
8051|2SA|2
8083|2SA|3
8122|2SA|4
8134|2SA|5
8159|2SA|6
8182|2SA|7
